Ticker,Name,ISIN,URL,KGV_1,KUV_1,Datum_1,KGV_2,KUV_2,Datum_2
BIJ,,,https://www.boerse.de/aktien/bijou-brigitte/DE0005229504,,,,,,
RTML,,,https://www.boerse.de/aktien/camerit/DE000HNC2059,,,,,,
CPX,,,https://www.boerse.de/aktien/capsensixx-ag/DE000A2G9M17,,,,,,
C0M,,,https://www.boerse.de/aktien/ccs-abwicklungs/DE000A2QDNX9,,,,,,
CNW,,,https://www.boerse.de/aktien/co-don-ag/DE000A3E5C08,,,,,,
CSQ,,,https://www.boerse.de/aktien/creditshelf-ag-ia/DE000A2LQUA5,,,,,,
DRE2,,,https://www.boerse.de/aktien/deutsche-real-estate-ag/DE0008055021,,,,,,
DWNI,,,https://www.boerse.de/aktien/deutsche-wohnen-se-inh/DE000A0HN5C6,,,,,,
DFTK,,,https://www.boerse.de/aktien/df-deutsche-forfait-ag-na/DE000A2AA204,,,,,,
DIE,,,https://www.boerse.de/aktien/dierig-holding-ag/DE0005580005,,,,,,
EIS,,,https://www.boerse.de/aktien/eisen-und-huettenwerke/DE0005658009,,,,,,
H2O,,,https://www.boerse.de/aktien/enapter-ag/DE000A255G02,,,,,,
EBK,,,https://www.boerse.de/aktien/enbw-energie-baden-wuerttemberg-on/DE0005220008,,,,,,
EKT,,,https://www.boerse.de/aktien/energiekontor/DE0005313506,,,,,,
ECX,,,https://www.boerse.de/aktien/epigenomics-ag-na/DE000A37FT41,,,,,,
FVI,,,https://www.boerse.de/aktien/fair-value-reit-ag-inh-on/DE000A0MW975,,,,,,
FC9,,,https://www.boerse.de/aktien/fcr-immobilien-ag-na/DE000A1YC913,,,,,,
FRS,,,https://www.boerse.de/aktien/foris/DE0005775803,,,,,,
CEA,,,https://www.boerse.de/aktien/friwo-ag/DE0006201106,,,,,,
WWG,,,https://www.boerse.de/aktien/gelsenwasser/DE0007760001,,,,,,
GGS,,,https://www.boerse.de/aktien/gigaset-ag/DE0005156004,,,,,,
IPOK,,,https://www.boerse.de/aktien/heidelberger-beteiligungsholding/DE000A254294,,,,,,
IFS,,,https://www.boerse.de/aktien/infas-holding-ag/DE0006097108,,,,,,
ITN,,,https://www.boerse.de/aktien/intertainment-ag/DE0006223605,,,,,,
